time,open_price,high_price,low_price,close_price,volume,vector_color,lowest_low,symbol,interval,ema_5,ema_13,ema_50,ema_100,ema_200,ema_800,Kerze,lower_low,lower_low_start,lower_low_ende,w1,w_middle,w2
1705830300000,41709.38,41747.53,41709.38,41747.53,138.93243,blue,,BTCUSDT,15m,41709.55750292131,41682.185346949365,41649.496177249086,41640.48790435906,41635.44216204185,41631.39316934373,Grün,,,,,,
1705831200000,41747.52,41760.0,41709.99,41712.07,98.85652,darkgrey,,BTCUSDT,15m,41710.39500194754,41686.454583099454,41651.95005265108,41641.905371599474,41636.20462809119,41631.59460962003,Rot,,,,,,
1705832100000,41712.07,41797.78,41711.05,41797.78,155.90808,green,,BTCUSDT,15m,41739.523334631696,41702.35821408525,41657.66887411574,41644.991997904435,41637.81234323456,41632.00955441498,Grün,,,,,,
1705833000000,41797.78,41797.78,41742.0,41757.34,204.77802,violet,,BTCUSDT,15m,41745.4622230878,41710.21275493022,41661.57754571905,41647.21671081722,41639.00167315263,41632.32248936026,Rot,,,,,,
1705833900000,41757.35,41826.97,41755.63,41785.99,257.78737,green,,BTCUSDT,15m,41758.971482058536,41721.03807565448,41666.456465494775,41649.964696741634,41640.464243569026,41632.706178525405,Grün,,,,,,
1705834800000,41786.0,41795.61,41762.0,41792.72,68.93105,lightgrey,,BTCUSDT,15m,41770.22098803903,41731.278350560984,41671.40797665184,41652.79153442992,41641.97922622008,41633.105713660174,Grün,,,,,,
1705835700000,41792.73,41794.52,41771.1,41780.42,128.27483,darkgrey,,BTCUSDT,15m,41773.620658692686,41738.29858619513,41675.682957959616,41655.31883077784,41643.35674635719,41633.47353959361,Rot,,AA,,,,
1705836600000,41780.41,41780.42,41721.87,41724.67,97.12392,darkgrey,,BTCUSDT,15m,41757.30377246179,41736.35164531012,41677.60401843179,41656.69212125748,41644.165833458115,41633.70124611147,Rot,,AA,,,,
1705837500000,41724.67,41724.68,41686.0,41719.89,107.0491,darkgrey,,BTCUSDT,15m,41744.83251497453,41733.99998169439,41679.26229221878,41657.9435644009,41644.91930775207,41633.9164489926,Rot,LL,,,,,
1705838400000,41719.9,41821.1,41700.91,41796.52,197.98823,green,,BTCUSDT,15m,41762.06167664969,41742.931412880906,41683.860633700395,41660.68765223455,41646.42777235155,41634.322450368396,Grün,,,,,,
1705839300000,41796.51,41796.52,41741.97,41758.37,124.00586,darkgrey,,BTCUSDT,15m,41760.831117766465,41745.13692532649,41686.78256963371,41662.621956150695,41647.541625362974,41634.63218207784,Rot,,AA,,,,
1705840200000,41758.37,41758.38,41729.71,41742.85,92.54169,darkgrey,,BTCUSDT,15m,41754.83741184432,41744.81022170842,41688.981292393175,41664.21063028632,41648.48996739917,41634.90238886416,Rot,LL,AA,,,,
1705841100000,41742.85,41772.43,41734.09,41735.99,94.75345,darkgrey,,BTCUSDT,15m,41748.55494122955,41743.55019003579,41690.824771122854,41665.63200394402,41649.36061448973,41635.15479238759,Rot,,,,,,
1705842000000,41735.99,41810.0,41735.98,41802.0,170.86246,lightgrey,,BTCUSDT,15m,41766.369960819706,41751.900162887825,41695.18458402,41668.33236030156,41650.87941434555,41635.57138466628,Grün,,,,,,
1705842900000,41802.0,41815.33,41755.94,41801.67,166.69606,darkgrey,,BTCUSDT,15m,41778.13664054647,41759.01013961814,41699.36048268589,41670.972709602516,41652.37981818291,41635.98611279445,Rot,,,,,,
1705843800000,41801.66,41862.02,41801.66,41821.1,162.4427,lightgrey,,BTCUSDT,15m,41792.45776036431,41767.8801196727,41704.13458140408,41673.94552723415,41654.05862596219,41636.44831975377,Grün,,,,,,
1705844700000,41821.11,41859.53,41800.0,41859.53,191.91146,lightgrey,,BTCUSDT,15m,41814.81517357621,41780.97295971946,41710.228519388234,41677.62046728892,41656.10311724615,41637.00532769446,Grün,,,EE,,,
1705845600000,41859.52,41870.0,41831.1,41864.35,118.53166,lightgrey,,BTCUSDT,15m,41831.326782384145,41792.883965473826,41716.27249902007,41681.318081798054,41658.175225532264,41637.57297981008,Grün,,,,,,
1705846500000,41864.36,41881.39,41757.25,41778.0,235.94434,red,,BTCUSDT,15m,41813.5511882561,41790.75768469185,41718.69318533301,41683.2325752278,41659.36751184538,41637.92360907397,Rot,,,,,,
1705847400000,41777.99,41830.75,41777.99,41803.64,143.71297,lightgrey,,BTCUSDT,15m,41810.2474588374,41792.59801545016,41722.02443296701,41685.61688066883,41660.8030589912,41638.33738283409,Grün,,,,,,
